trial,ns
1081,42.0
1082,41.0
1083,43.0
1084,41.0
1085,41.0
1086,42.0
1087,41.0
1088,41.0
1089,43.0
1090,40.0
1091,41.0
1092,42.0
1093,41.0
1094,42.0
1095,42.0
1096,41.0
1097,40.0
1098,43.0
1099,42.0
1100,41.0
1101,42.0
1102,41.0
1103,40.0
1104,41.0
1105,42.0
1106,41.0
1107,42.0
1108,42.0
1109,41.0
1110,41.0
1111,42.0
1112,42.0
1113,41.0
1114,40.0
1115,43.0
1116,40.0
1117,41.0
1118,43.0
1119,40.0
1120,41.0
1121,41.0
1122,41.0
1123,41.0
1124,41.0
1125,42.0
1126,41.0
1127,40.0
1128,41.0
1129,43.0
1130,40.0
1131,41.0
1132,41.0
1133,42.0
1134,41.0
1135,41.0
1136,40.0
1137,43.0
1138,40.0
1139,42.0
1140,41.0
1141,41.0
1142,42.0
1143,41.0
1144,40.0
1145,41.0
1146,43.0
1147,40.0
1148,41.0
1149,41.0
1150,42.0
1151,42.0
1152,41.0
1153,40.0
1154,41.0
1155,42.0
1156,41.0
1157,42.0
1158,41.0
1159,42.0
1160,42.0
1161,42.0
1162,41.0
1163,41.0
1164,42.0
1165,43.0
1166,42.0
1167,41.0
1168,40.0
1169,41.0
1170,42.0
1171,41.0
1172,42.0
1173,41.0
1174,40.0
1175,41.0
1176,42.0
1177,42.0
1178,42.0
1179,41.0
1180,41.0
1181,42.0
1182,42.0
1183,42.0
1184,41.0
1185,41.0
1186,41.0
1187,41.0
1188,41.0
1189,42.0
1190,43.0
1191,42.0
1192,40.0
1193,41.0
1194,40.0
1195,42.0
1196,43.0
1197,42.0
1198,41.0
1199,41.0
1200,40.0
1201,41.0
1202,40.0
1203,41.0
1204,42.0
1205,42.0
1206,43.0
1207,40.0
1208,41.0
1209,41.0
1210,40.0
1211,43.0
1212,41.0
1213,42.0
1214,43.0
1215,42.0
1216,43.0
1217,42.0
1218,41.0
1219,41.0
1220,40.0
1221,41.0
1222,42.0
1223,41.0
1224,41.0
1225,43.0
1226,42.0
1227,42.0
1228,41.0
1229,41.0
1230,40.0
1231,41.0
1232,42.0
1233,42.0
1234,43.0
1235,41.0
1236,40.0
1237,41.0
1238,41.0
1239,40.0
1240,41.0
1241,41.0
1242,42.0
1243,42.0
1244,41.0
1245,40.0
1246,41.0
1247,42.0
1248,42.0
1249,41.0
1250,41.0
1251,40.0
1252,42.0
1253,41.0
1254,41.0
1255,42.0
1256,41.0
1257,40.0
1258,41.0
1259,42.0
1260,41.0
1261,42.0
1262,42.0
1263,42.0
1264,41.0
1265,41.0
1266,42.0
1267,43.0
1268,42.0
1269,41.0
1270,41.0
1271,41.0
1272,42.0
1273,41.0
1274,42.0
1275,41.0
1276,40.0
1277,41.0
1278,42.0
1279,41.0
1280,41.0
1281,42.0
1282,41.0
1283,41.0
1284,41.0
1285,41.0
1286,43.0
1287,42.0
1288,41.0
1289,41.0
1290,40.0
1291,43.0
1292,41.0
1293,41.0
1294,41.0
1295,42.0
